228.0110,376.7240,307.7028,325.5826,269.7795,317.2081,363.7362,410.0256,437.0011,275.3561,329.2188,383.0640,285.9545,340.4849,397.3940,454.5789,460.1358,302.9092,354.6830,406.7087,325.7299,365.4655,409.8256,453.0353,509.5302,379.2466,437.4529,409.4154,420.0060,371.4310,327.1238,287.3273,254.1692,270.6326,210.0119,134.8481,176.9633,241.5885,223.1815,176.8219,132.2573,94.3027,72.0069,0.0000,54.4518,109.7725,163.6887,219.3855,176.8757,126.7517,84.5991,71.7008,142.0000,144.4715,169.6496,206.4655,255.4858,225.7632,208.7223,207.6391,241.2986,271.3301,282.2942,325.5826
174.7513,327.9634,260.0346,282.3491,218.2842,265.1490,311.6360,358.1089,383.0835,221.1108,275.0455,329.0000,232.0022,286.2464,343.0233,400.1512,406.7087,251.4776,302.1672,353.5944,278.7562,316.2278,359.4691,402.1244,458.9553,334.4682,390.5125,367.7227,388.3298,336.2648,287.9601,243.4461,205.2048,234.0534,181.7966,119.4362,141.1134,197.7524,172.4094,128.0352,87.8009,64.6220,74.0405,54.4518,0.0000,55.3263,109.2932,165.1091,125.5388,81.8352,64.4981,90.5097,145.3994,127.0000,134.7368,162.1882,216.6149,194.4274,188.4091,199.1105,243.1296,252.7865,251.8035,298.2030
122.1188,279.9589,214.2265,242.2437,167.3708,213.0469,259.2798,305.8513,328.2986,166.0030,220.0023,274.0657,177.7301,231.3871,287.9028,344.9116,353.0227,201.3753,250.0600,300.4430,235.1042,268.8885,310.2660,351.9787,409.0929,293.1382,345.7759,330.0561,362.7630,307.3581,254.9510,205.0098,159.8624,204.1666,165.8945,126.8464,118.9033,159.1383,123.4342,84.8999,60.8769,72.9178,108.1896,109.7725,55.3263,0.0000,54.0370,110.0000,78.5684,58.1378,85.6329,132.3820,168.8846,132.9135,117.0000,126.6254,186.3357,175.7299,183.8070,206.4946,258.1182,246.2722,231.1450,279.7320
77.0779,233.8482,172.0727,206.6349,119.2015,162.4838,208.0817,254.5683,274.4668,112.0045,166.0271,220.1454,127.0118,178.9860,234.7765,291.4310,302.4913,158.3919,202.7659,251.0020,201.3405,228.8777,266.9176,306.8892,364.0673,261.0939,308.2937,302.0017,348.3691,290.4497,234.7765,179.9361,127.0118,182.7895,163.6001,151.1622,116.2497,129.7112,80.6226,60.5310,72.4017,108.8531,152.1217,163.6887,109.2932,54.0370,0.0000,56.0357,56.0089,80.6226,129.7112,181.8378,206.6349,161.3753,127.0472,113.0044,173.2888,177.1243,198.5875,230.2173,285.8339,255.5191,226.5657,275.4088
57.0351,187.7685,133.9888,175.9602,74.6525,111.3059,155.2611,201.3082,218.4491,56.0089,110.0045,164.1097,82.0244,127.9062,181.5158,237.2003,253.6632,127.0118,161.2762,204.6118,181.2015,198.2448,230.0543,266.6252,323.1671,240.3539,278.8566,284.9860,346.0014,287.0000,230.0000,173.0000,116.0000,172.0000,175.5591,187.1096,134.5288,115.0000,56.0000,75.2861,111.8302,155.6824,201.3082,219.3855,165.1091,110.0000,56.0357,0.0000,81.3204,127.9062,182.4637,236.2308,254.1692,204.6118,160.5895,128.3511,180.9447,198.6479,230.0543,267.3200,324.5689,279.7320,239.0983,285.9545
55.0091,268.9387,214.2008,253.6632,155.7947,191.2067,233.0944,277.9820,284.2692,126.5622,177.1158,230.0804,115.0000,171.0000,229.0000,287.0000,284.7385,126.1150,178.0590,230.7661,156.5407,191.2067,233.9444,276.6225,333.4187,214.8046,267.3200,252.8003,293.3939,235.9873,181.1988,128.3511,81.3204,236.9578,219.3855,199.5420,171.7469,182.1483,127.4559,116.3486,123.0163,149.7732,186.7244,176.8757,125.5388,78.5684,56.0089,81.3204,0.0000,57.0000,116.0000,172.0000,176.8757,125.0320,79.3095,57.0000,117.5160,122.7110,149.5125,186.0027,243.2612,202.6154,170.6605,219.4470
112.0045,313.2874,252.6599,286.6810,198.4364,239.0335,283.1148,328.9757,339.7175,179.3014,231.6398,285.2718,172.0000,228.0000,286.0000,344.0000,340.2778,178.9860,232.6070,286.0245,199.0226,239.0335,284.0158,327.6538,383.7304,253.3969,310.8006,285.9178,309.3752,255.8066,206.3492,161.9290,127.9062,256.7022,223.3764,183.0027,175.8465,207.1835,161.2203,133.4616,118.5327,126.9055,153.0000,126.7517,81.8352,58.1378,80.6226,127.9062,57.0000,0.0000,59.0000,115.0000,126.7517,81.0555,59.1354,80.6102,135.3255,118.6971,126.1467,152.1184,206.3710,188.1755,175.1114,223.1815
171.0029,362.9325,298.7742,327.8674,248.7087,292.0274,337.2314,383.5440,397.5739,235.9873,289.0848,343.0233,231.0000,287.0000,345.0000,403.0000,398.2010,235.7477,290.0638,343.8212,249.1766,292.0274,338.1627,382.2565,437.5386,299.5947,359.8055,327.2002,335.4519,287.0017,243.9529,207.7354,182.4637,287.8003,242.0124,183.8070,198.0934,244.6589,207.1835,170.5315,140.6165,128.0625,135.6245,84.5991,64.4981,85.6329,129.7112,182.4637,116.0000,59.0000,0.0000,56.0000,84.5991,63.5059,86.3134,129.2478,172.6789,141.1737,126.8464,134.6291,179.6218,190.8219,197.7397,241.5885
227.0022,412.3397,346.1820,371.4310,299.3860,344.1395,389.9090,436.4058,452.7615,290.6441,344.0959,398.1771,287.0000,343.0000,401.0000,459.0000,453.4358,290.4497,345.0811,399.0050,299.7749,344.1395,390.8580,435.1460,489.7183,347.0519,408.7689,370.8423,367.3255,323.8549,286.4001,256.2538,236.2308,324.5628,270.6326,201.2585,231.4671,287.0017,255.8066,214.9814,177.8904,152.0526,141.6827,71.7008,90.5097,132.3820,181.8378,236.2308,172.0000,115.0000,56.0000,0.0000,71.7008,89.8053,132.8232,181.1988,217.2050,178.6449,150.6586,140.7302,170.0118,209.2964,231.4066,270.0463
228.6329,440.0102,378.4772,410.1219,325.1538,365.4655,408.9450,454.3798,459.8021,303.3299,353.7527,406.0960,285.9545,340.4849,397.3940,454.5789,438.0011,275.4088,330.2181,384.0833,269.9481,317.2081,364.7259,408.8826,460.3357,308.6487,372.2110,325.1292,307.5923,270.0463,241.1680,223.3764,219.3855,372.2392,326.0383,263.7954,282.6305,327.8674,286.6810,253.3969,225.2110,210.0214,208.6265,142.0000,145.3994,168.8846,206.6349,254.1692,176.8757,126.7517,84.5991,71.7008,0.0000,54.5894,109.6586,162.6038,179.0112,133.1953,92.9139,71.1196,99.7246,143.2201,177.2287,209.3036
175.1142,391.9962,333.0540,367.7227,277.4617,315.6596,358.0950,402.9950,406.0960,251.4776,300.8471,352.6613,231.7283,286.0245,342.8382,399.9925,384.0638,221.1108,276.0290,330.0000,218.7693,265.3469,312.8082,357.1288,409.6840,261.3580,324.2360,282.3491,278.4259,234.0534,197.7524,173.0000,165.0757,336.2648,297.5718,245.1775,251.4359,287.9601,241.9793,213.8457,193.1321,188.5338,199.1105,144.4715,127.0000,132.9135,161.3753,204.6118,125.0320,81.0555,63.5059,89.8053,54.5894,0.0000,55.1453,108.1665,130.6790,89.2020,64.2573,74.0405,125.7179,127.5774,141.7674,182.1318
123.5476,347.9684,293.2985,331.7303,235.1042,269.5366,310.0403,353.9096,353.1926,202.5142,249.6478,300.3415,178.0590,231.6398,288.1059,345.0811,329.1838,166.0271,221.0000,275.0291,167.3708,212.7769,260.0000,304.3846,357.9972,214.5530,275.9601,240.9191,253.6178,202.4846,157.6991,123.4342,110.0045,309.2265,280.8630,241.9938,232.9571,256.7567,205.0098,185.6583,176.6380,185.6071,208.3555,169.6496,134.7368,117.0000,127.0472,160.5895,79.3095,59.1354,86.3134,132.8232,109.6586,55.1453,0.0000,53.0377,86.3713,60.1664,71.5542,106.7755,164.2011,130.4186,117.3243,164.6845
79.9312,310.3627,261.9637,304.2367,201.8539,230.2889,267.5892,309.6982,303.7532,160.5148,203.3347,251.9563,128.3511,180.2498,235.9873,292.6055,276.3060,113.0044,168.0119,222.0811,120.0666,163.0491,209.6592,253.9547,308.6503,172.9046,231.3115,205.6818,237.6910,181.1988,128.3511,81.3204,57.0088,292.6055,276.3060,252.3886,228.5607,236.9578,180.2498,173.2339,178.1011,199.5420,231.3115,206.4655,162.1882,126.6254,113.0044,128.3511,57.0000,80.6102,129.2478,181.1988,162.6038,108.1665,53.0377,0.0000,61.0000,70.4911,107.6151,150.2332,207.4729,151.6047,113.9912,162.6038
125.9365,352.6613,311.2362,355.7879,250.8745,272.3417,304.2515,342.5318,324.6798,201.6928,235.1850,277.2382,156.5407,198.2145,247.4126,299.7749,269.1357,118.8486,167.3708,217.8004,93.0000,141.0035,188.0957,231.6247,281.6558,130.6790,193.7060,154.5639,176.8219,121.0785,71.7008,46.0435,74.8131,350.0357,336.8561,312.7763,289.2629,293.6256,235.5356,233.0086,239.0753,259.0483,288.2776,255.4858,216.6149,186.3357,173.2888,180.9447,117.5160,135.3255,172.6789,217.2050,179.0112,130.6790,86.3713,61.0000,0.0000,48.0000,96.1873,141.0284,192.4422,113.2299,59.0339,105.0190
149.6262,380.2973,332.4154,374.3274,272.3417,300.0167,335.8943,376.7015,364.7808,229.7303,269.4290,315.1587,191.8150,238.6483,290.5942,344.4779,316.5091,161.9290,213.0469,264.5695,141.0000,189.0026,236.0763,279.5174,328.9772,175.5135,239.1694,193.4580,194.6535,146.2190,108.9082,94.0213,110.9820,359.5066,336.8561,301.6836,288.7646,304.8541,249.3933,237.4974,234.0021,245.5402,268.2685,225.7632,194.4274,175.7299,177.1243,198.6479,122.7110,118.6971,141.1737,178.6449,133.1953,89.2020,60.1664,70.4911,48.0000,0.0000,48.3735,93.5575,146.8945,81.1234,57.3847,104.5610
187.0187,416.0697,363.6372,402.9057,304.6999,336.5858,374.9733,417.3104,409.4203,267.5892,310.8504,358.6154,234.7957,284.0158,337.2314,391.8074,364.8698,209.0287,260.9693,312.8082,189.0952,237.1034,284.0000,327.1850,375.7047,220.2930,284.0739,233.2252,217.0392,177.2005,150.2165,142.2252,156.1698,380.4905,349.4968,304.0016,301.9884,328.2986,276.2843,256.8209,244.5588,247.0020,261.7250,208.7223,188.4091,183.8070,198.5875,230.0543,149.5125,126.1467,126.8464,150.6586,92.9139,64.2573,71.5542,107.6151,96.1873,48.3735,0.0000,45.3542,100.6479,64.3817,84.3149,119.4027
228.2126,454.7362,399.4859,436.6440,341.7441,376.1130,415.9062,459.0697,453.4887,308.2937,353.3624,402.1244,278.3738,328.5666,382.2565,437.0492,410.0256,254.2597,306.3234,358.1089,233.6193,281.5759,328.1844,371.0000,418.3838,261.6295,325.1846,270.3794,240.7094,208.8564,189.8420,186.9679,200.9278,408.7689,371.5710,318.1981,325.2599,358.9499,310.0000,285.5591,266.9869,261.8950,269.0000,207.6391,199.1105,206.4946,230.2173,267.3200,186.0027,152.1184,134.6291,140.7302,71.1196,74.0405,106.7755,150.2332,141.0284,93.5575,45.3542,0.0000,57.6281,73.5527,119.5492,143.0035
285.8006,512.1406,456.1688,492.4683,398.8483,433.6727,473.5325,516.6372,510.0637,365.9208,410.7578,459.1089,335.2924,384.6102,437.3888,491.3461,460.9772,308.8122,359.5622,410.2012,283.0071,330.4421,375.9495,417.5548,462.0043,304.0016,366.3496,305.7908,258.5034,238.4156,231.0087,237.4574,256.7197,461.9102,421.0012,362.3548,375.8258,413.5336,366.0833,339.5364,317.5925,307.4671,308.3018,241.2986,243.1296,258.1182,285.8339,324.5689,243.2612,206.3710,179.6218,170.0118,99.7246,125.7179,164.2011,207.4729,192.4422,146.8945,100.6479,57.6281,0.0000,97.4936,159.0000,167.3350
230.2889,460.8004,413.5372,455.2713,353.4586,380.4064,415.0614,454.6702,437.8242,309.8661,347.1901,390.3870,268.7341,311.4001,359.4691,410.1146,372.8337,231.6074,277.3085,324.6167,194.9974,240.7094,284.2974,324.3594,366.4928,208.6145,270.0019,208.3195,167.8005,141.3825,135.8308,153.0000,186.7244,438.3081,411.1703,368.0489,363.3291,384.4802,329.8879,315.2428,306.6203,311.0579,326.0138,271.3301,252.7865,246.2722,255.5191,279.7320,202.6154,188.1755,190.8219,209.2964,143.2201,127.5774,130.4186,151.6047,113.2299,81.1234,64.3817,73.5527,97.4936,0.0000,65.2534,71.5542
184.7728,411.4280,370.1581,414.4514,309.7693,331.1873,362.2403,399.4859,377.7089,260.6012,292.5150,332.3432,214.0093,251.9841,297.3819,346.5602,307.7028,171.4060,214.0327,260.0346,130.2690,175.5135,219.1004,259.5092,303.0066,145.0034,207.6174,150.8410,137.7135,93.0860,72.0278,90.6035,133.1465,406.4283,389.0051,357.7178,341.0015,350.4754,292.9846,287.0052,287.9201,301.9884,325.6087,282.2942,251.8035,231.1450,226.5657,239.0983,170.6605,175.1114,197.7397,231.4066,177.2287,141.7674,117.3243,113.9912,59.0339,57.3847,84.3149,119.5492,159.0000,65.2534,0.0000,49.0102
230.5667,453.5912,415.3902,460.4433,355.1746,373.8730,402.3779,437.4529,410.1244,303.8174,331.7303,367.8505,254.1692,286.6810,327.1238,372.2392,326.0383,206.6349,242.3304,282.8993,155.9744,195.3586,233.6343,269.7425,306.2760,151.7893,208.6265,142.0035,98.2904,71.7008,85.1469,125.9246,175.9602,454.5789,438.0011,406.0788,390.0051,398.3780,340.4849,335.7886,336.8561,350.0700,372.2110,325.5826,298.2030,279.7320,275.4088,285.9545,219.4470,223.1815,241.5885,270.0463,209.3036,182.1318,164.6845,162.6038,105.0190,104.5610,119.4027,143.0035,167.3350,71.5542,49.0102,0.0000
